Date of Final Decision,Submission Number,Device,Company,Panel (Lead),Primary Product Code
4/3/24,K233618,Oxevision Sleep Device,Oxehealth Limited,Neurology,LEL
4/2/24,DEN230036,Sepsis ImmunoScore,"Prenosis, Inc.",General Hospital,SAK
4/2/24,K232835,Aquilion ONE (TSX-308A/3) V1.4 with PIQE Reconstruction System,Canon Medical Systems Corporation,Radiology,JAK
4/1/24,K233676,Us2.v2,Eko.ai Pte. Ltd d/b/a Us2.ai,Radiology,QIH
3/29/24,K233211,AVIEW CAC,"Coreline Soft Co., Ltd.",Radiology,QIH
3/28/24,K233409,Eko Low Ejection Fraction Tool (ELEFT),"Eko Health, Inc.",Cardiovascular,QYE
3/28/24,K233657,NAEOTOM Alpha,"Siemens Medical Solutions USA, Inc.",Radiology,JAK
3/26/24,K233650,SOMATOM go.Up; SOMATOM go.Now; SOMATOM go.All; SOMATOM go.Top; SOMATOM go.Sim; SOMATOM go.Open Pro; SOMATOM X.cite; SOMATOM X.ceed,"Siemens Medical Solutions USA, Inc.",Radiology,JAK
3/22/24,K232431,syngo.CT Brain Hemorrhage,"Siemens Medical Solutions USA, Inc.",Radiology,QAS
3/22/24,K240540,uMR Omega,"Shanghai United Imaging Healthcare Co., Ltd.",Radiology,LNH
3/22/24,K232322,MAGNETOM Terra; MAGNETOM Terra.X,"Siemens Medical Solutions USA, Inc.",Radiology,LNH
3/21/24,K233753,AI-Rad Companion (Pulmonary),Siemens Healthcare GmbH,Radiology,JAK
3/20/24,K234047,Automatic Registration,Brainlab AG,Neurology,OLO
3/15/24,K233342,CINA-ASPECTS,Avicenna.AI,Radiology,POK
3/13/24,K233968,CINA-iPE,Avicenna.AI,Radiology,QAS
3/11/24,K232140,OTS Hip,Ortoma AB,Neurology,OLO
3/8/24,K233438,SleepStageML,"Beacon Biosignals, Inc.",Neurology,OLZ
3/7/24,K233692,"Voluson Signature 20, Voluson Signature 18","GE Medical Systems Ultrasound and Primary care Diagnostics,",Radiology,IYN
3/6/24,K231677,EdgeFlow UH10,Edgecare Inc.,Radiology,IYO
3/4/24,K233738,Overjet Caries Assist-Pediatric,"Overjet, Inc",Radiology,MYN
3/1/24,K233030,BoneMRI,MRIguidance B.V,Radiology,QIH
3/1/24,K231690,iCAS-LV,HighRAD Ltd.,Radiology,QIH
2/29/24,K231683,inHEART Models,"inHEART, SAS",Radiology,QIH
2/29/24,K232765,MAGNETOM Cima.X Fit,"Siemens Medical Solutions USA, Inc.",Radiology,LNH
2/28/24,K232613,CT Cardiomegaly,"Innolitics, LLC",Radiology,QIH
2/23/24,K233590,Overjet Charting Assist,"Overjet, Inc",Radiology,QIH
2/22/24,K233749,Revolution Ascend Sliding,"GE Hangwei Medical Systems Co., Ltd.",Radiology,JAK
2/21/24,K232148,X-Guide Surgical Navigation System,"X-Nav Technologies, LLC",Dental,QRY
2/15/24,K232915,EpiMonitor,Empatica Srl,Neurology,POS
2/13/24,K233788,"EPIQ Series Diagnostic Ultrasound System, Affiniti Series Diagnostic Ultrasound System",Philips Ultrasound LLC,Radiology,IYN
2/13/24,K231855,QOCA® image Smart RT Contouring System,Quanta Computer Inc.,Radiology,QKB
2/9/24,K231355,Aurora,EnsoData,Anesthesiology,MNR
2/8/24,K233080,HealthFLD,Nano-X AI Ltd.,Radiology,JAK
2/6/24,DEN230041,Sleep Apnea Feature,"Samsung Electronics Co., Ltd",Anesthesiology,QZW
2/5/24,K232363,"Viz HDS, Viz Volume Plus, Viz ICH+","Viz.ai, Inc.",Radiology,QIH
1/31/24,DEN210035,Genius Digital Diagnostics System with the Genius Cervical AI algorithm,Hologic Inc.,Pathology,QYV
1/31/24,K231396,CEPHX- Cephalometric Analysis Software,Orca Dental AI LTD,Radiology,LLZ
