level,label,bucket,reason,consequential,n_occurrences,n_trials,example_nct,first_seen,weeks_open,resolved,parser_rules_version
category,Reported History of STI Diagnosis,,unrecognized,True,1,1,NCT02128217,2026-09-14,0,,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
class,Result Totals,,unrecognized,True,1,1,NCT00863343,2026-09-14,0,,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
class,Same Gender Loving,,unrecognized,True,1,1,NCT03313310,2026-09-14,0,,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
category,Self-employed (formal or informal),,unrecognized,True,1,1,NCT03500172,2026-09-14,0,,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
class,Self-reported STI in the lifetime (any kind),,unrecognized,True,1,1,NCT06187415,2026-09-14,0,,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
class,Sex : Sex,,unrecognized,True,1,1,NCT02674659,2026-09-14,0,,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
category,Sexual Minority,,unrecognized,True,1,1,NCT05107401,2026-09-14,0,,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
category,Sexual activity (vaginal sex) ≥ 3 times per one month,,unrecognized,True,1,1,NCT03894813,2026-09-14,0,,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
category,Sexual minority,,unrecognized,True,1,1,NCT04251273,2026-09-14,0,,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
class,Sexually Active with ED,,unrecognized,True,1,1,NCT00384930,2026-09-14,0,,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
class,Sexually Active without ED,,unrecognized,True,1,1,NCT00384930,2026-09-14,0,,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
category,Sexually active,,unrecognized,True,1,1,NCT03624972,2026-09-14,0,,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
category,Strongly Agree,,unrecognized,True,1,1,NCT03808883,2026-09-14,0,,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
category,Strongly Disagree,,unrecognized,True,1,1,NCT03808883,2026-09-14,0,,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
class,Syphilis,,unrecognized,True,1,1,NCT03881007,2026-09-14,0,,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
class,Transactional Sex Work Involvement,,unrecognized,True,1,1,NCT03313310,2026-09-14,0,,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
class,Transexual,,unrecognized,True,1,1,NCT04233372,2026-09-14,0,,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
class,Transformista,,unrecognized,True,1,1,NCT06316102,2026-09-14,0,,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
class,Travesti,,unrecognized,True,1,1,NCT06316102,2026-09-14,0,,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
category,Uncertain / don't know for sure,,unrecognized,True,1,1,NCT03912753,2026-09-14,0,,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
class,Undecided,,unrecognized,True,1,1,NCT03487796,2026-09-14,0,,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
class,Unkown,,unrecognized,True,1,1,NCT04601493,2026-09-14,0,,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
class,Use birth control,,unrecognized,True,1,1,NCT03058835,2026-09-14,0,,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
category,Yes had sex in past 3 months at Baseline,,unrecognized,True,1,1,NCT02847858,2026-09-14,0,,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
category,Yes same sex partner,,unrecognized,True,3,1,NCT04680611,2026-09-14,0,,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
category,Yes within last 3 months,,unrecognized,True,1,1,NCT02494817,2026-09-14,0,,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
category,"Yes, I have both given and received money, things, opportunities and so on",,unrecognized,True,1,1,NCT05797961,2026-09-14,0,,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
category,"Yes, I have both given and received money, things, or opportunities",,unrecognized,True,1,1,NCT05161689,2026-09-14,0,,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
category,"Yes, I was the one giving money, things, opportunities and so on",,unrecognized,True,1,1,NCT05797961,2026-09-14,0,,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
category,"Yes, I was the one giving money, things, or opportunities",,unrecognized,True,1,1,NCT05161689,2026-09-14,0,,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
category,"Yes, I was the one receiving money, things, opportunities and so on",,unrecognized,True,1,1,NCT05797961,2026-09-14,0,,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
category,"Yes, I was the one receiving money, things, or opportunities",,unrecognized,True,1,1,NCT05161689,2026-09-14,0,,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
category,non disclosed,,unrecognized,True,1,1,NCT05933525,2026-09-14,0,,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
class,Sex/Gender,,unrecognized,False,35,35,NCT05965726,2026-09-14,0,,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
class,Caregivers,,unrecognized,False,33,33,NCT04308512,2026-09-14,0,,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
class,Gender Identity,,unrecognized,False,17,17,NCT04757649,2026-09-14,0,,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
class,Part A,,unrecognized,False,17,17,NCT03537651,2026-09-14,0,,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
class,Part 1,,unrecognized,False,15,15,NCT03290248,2026-09-14,0,,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
class,Part B,,unrecognized,False,15,15,NCT03537651,2026-09-14,0,,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
class,Part 2,,unrecognized,False,14,14,NCT03290248,2026-09-14,0,,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
class,Phase 2,,unrecognized,False,12,12,NCT02384954,2026-09-14,0,,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
class,Adolescent,,unrecognized,False,9,9,NCT04516252,2026-09-14,0,,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
class,Caregiver,,unrecognized,False,9,9,NCT02483520,2026-09-14,0,,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
class,Gender identity,,unrecognized,False,8,8,NCT04870099,2026-09-14,0,,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
class,Phase 1,,unrecognized,False,8,8,NCT02384954,2026-09-14,0,,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
class,Stage 1,,unrecognized,False,8,8,NCT01960257,2026-09-14,0,,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
class,Stage 2,,unrecognized,False,8,8,NCT03281369,2026-09-14,0,,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
class,Adolescents,,unrecognized,False,7,7,NCT03986190,2026-09-14,0,,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
class,All Participants,,unrecognized,False,7,7,NCT02699450,2026-09-14,0,,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
class,Child Participants,,unrecognized,False,7,7,NCT02374138,2026-09-14,0,,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
class,Sex at Birth,,unrecognized,False,6,6,NCT06050083,2026-09-14,0,,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
class,Adults,,unrecognized,False,5,5,NCT02544321,2026-09-14,0,,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
class,Main Study,,unrecognized,False,5,5,NCT05375929,2026-09-14,0,,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
class,Parent Participants,,unrecognized,False,5,5,NCT02374138,2026-09-14,0,,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
class,Baseline,,unrecognized,False,4,4,NCT04129450,2026-09-14,0,,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
class,Caregiver Sex,,unrecognized,False,4,4,NCT03786471,2026-09-14,0,,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
class,Child Sex,,unrecognized,False,4,4,NCT04528732,2026-09-14,0,,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
class,Child participants,,unrecognized,False,4,4,NCT05358444,2026-09-14,0,,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
class,Part C,,unrecognized,False,4,4,NCT02855164,2026-09-14,0,,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
class,Period 1,,unrecognized,False,4,4,NCT05032196,2026-09-14,0,,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
class,Sex/gender,,unrecognized,False,4,4,NCT04279483,2026-09-14,0,,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
class,Veterans,,unrecognized,False,4,4,NCT04241094,2026-09-14,0,,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
class,caregivers,,unrecognized,False,4,4,NCT04912245,2026-09-14,0,,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
class,Adult,,unrecognized,False,3,3,NCT03580369,2026-09-14,0,,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
class,Child Gender,,unrecognized,False,3,3,NCT02713659,2026-09-14,0,,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
class,Child sex,,unrecognized,False,3,3,NCT02973815,2026-09-14,0,,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
class,Full analysis set,,unrecognized,False,3,3,NCT03384966,2026-09-14,0,,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
class,Maintenance Phase,,unrecognized,False,3,3,NCT01559935,2026-09-14,0,,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
class,Partner,,unrecognized,False,3,3,NCT05958615,2026-09-14,0,,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
class,Period 2,,unrecognized,False,3,3,NCT05032196,2026-09-14,0,,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
class,Phase I,,unrecognized,False,3,3,NCT01897714,2026-09-14,0,,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
class,Phase II,,unrecognized,False,3,3,NCT01897714,2026-09-14,0,,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
class,Sex assigned at birth,,unrecognized,False,3,3,NCT04636840,2026-09-14,0,,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
class,Sex at birth,,unrecognized,False,3,3,NCT06129487,2026-09-14,0,,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
class,"Sex/Gender, Customized",,unrecognized,False,3,3,NCT02633267,2026-09-14,0,,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
class,Teachers,,unrecognized,False,3,3,NCT05048433,2026-09-14,0,,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
class,Youth,,unrecognized,False,3,3,NCT05117099,2026-09-14,0,,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
class,mITT,,unrecognized,False,3,3,NCT03861169,2026-09-14,0,,parsers.R@2026-08-17 / outcomes@2026-09-10 / units@2026-09-14
